mass_code,resolution_code,periapsis_code,velocity_code,timestep,fof_linking_length,fragment_count_min_particles,largest_fragment_particle_count,largest_fragment_mass_kg,fragment_mass_fraction
A2000,n65,r14,v00,90000,0.008,290.0,259351.0,8.032178566271412e+18,1.0
A2000,n65,r14,v02,90000,0.004,322.0,355594.0,1.101285874281843e+19,1.0
A2000,n65,r14,v04,90000,0.004,294.0,262338.0,8.124690132973843e+18,1.0
A2000,n65,r14,v06,90000,0.004,273.0,444062.0,1.3752740912437834e+19,1.0
A2000,n65,r14,v08,90000,0.004,239.0,520557.0,1.6121814632023716e+19,1.0
A2000,n65,r14,v10,90000,0.004,216.0,723756.0,2.2414953385235423e+19,1.0
A2000,n65,r15,v00,90000,0.001,0.0,0.0,0.0,
A2000,n65,r15,v00,90000,0.002,4797.0,16783.0,5.1977494036620614e+17,1.0
A2000,n65,r15,v00,90000,0.003,294.0,496146.0,1.5365798311289006e+19,1.0
A2000,n65,r15,v00,90000,0.0035,295.0,496147.0,1.5365829281713148e+19,1.0
A2000,n65,r15,v00,90000,0.004,340.0,246218.66666666666,7.674077776546726e+18,1.0
A2000,n65,r15,v00,90000,0.0045,292.0,496147.0,1.5365829281713148e+19,1.0
A2000,n65,r15,v00,90000,0.005,291.0,496150.0,1.536592219232638e+19,1.0
A2000,n65,r15,v00,90000,0.006,290.0,496150.0,1.536592219232638e+19,1.0
A2000,n65,r15,v00,90000,0.008,289.0,496150.0,1.536592219232638e+19,1.0
A2000,n65,r16,v00,66000,0.004,332.3333333333333,884998.0,2.7470531388782883e+19,1.0
A2000,n65,r16,v00,72000,0.004,404.6666666666667,736961.6666666666,2.2857552196010574e+19,1.0
A2000,n65,r16,v00,78000,0.004,391.6666666666667,313685.0,9.748827392373795e+18,1.0
A2000,n65,r16,v00,84000,0.004,377.0,322991.6666666667,1.0041657865672743e+19,1.0
A2000,n65,r16,v00,90000,0.001,0.0,0.0,0.0,
A2000,n65,r16,v00,90000,0.002,6319.0,15220.0,4.713682871699572e+17,1.0
A2000,n65,r16,v00,90000,0.003,263.0,774358.0,2.39821132995817e+19,1.0
A2000,n65,r16,v00,90000,0.0035,261.0,774361.0,2.3982206210392687e+19,1.0
A2000,n65,r16,v00,90000,0.004,815.2105263157895,797173.2105263158,2.5173473759418765e+19,1.0
A2000,n65,r16,v00,90000,0.0045,266.0,774368.0,2.3982423002459628e+19,1.0
A2000,n65,r16,v00,90000,0.005,267.0,774369.0,2.39824539733348e+19,1.0
A2000,n65,r16,v00,90000,0.006,265.0,774369.0,2.39824539733348e+19,1.0
A2000,n65,r16,v00,90000,0.008,258.0,774371.0,2.3982515914113696e+19,1.0
A2000,n65,r16,v00,96000,0.004,294.6666666666667,337791.0,1.050911156970973e+19,1.0
A2000,n65,r16,v00,102000,0.004,268.3333333333333,338889.0,1.0543316955973003e+19,1.0
A2000,n65,r16,v00,108000,0.004,253.0,346308.3333333333,1.0777618692186206e+19,1.0
A2000,n65,r16,v02,90000,0.004,319.3333333333333,350240.6666666667,1.089278094545522e+19,1.0
A2000,n65,r16,v04,90000,0.004,279.0,528063.0,1.6398562209685234e+19,1.0
A2000,n65,r16,v06,90000,0.004,657.1578947368421,966014.2105263158,3.0501411957228614e+19,1.0
A2000,n65,r16,v08,90000,0.004,246.66666666666666,497319.0,1.5450138699197596e+19,1.0
A2000,n65,r16,v10,90000,0.004,259.0,712122.3333333334,2.2116736574928585e+19,1.0
A2000,n65,r17,v00,90000,0.001,0.0,0.0,0.0,
A2000,n65,r17,v00,90000,0.002,4140.0,18999.0,5.884050910605989e+17,1.0
A2000,n65,r17,v00,90000,0.003,190.0,1357274.0,4.203520767088335e+19,1.0
A2000,n65,r17,v00,90000,0.0035,189.0,1357294.0,4.20358270743459e+19,1.0
A2000,n65,r17,v00,90000,0.004,299.3333333333333,524252.0,1.627968653266192e+19,1.0
A2000,n65,r17,v00,90000,0.0045,185.0,1357313.0,4.203641551090578e+19,1.0
A2000,n65,r17,v00,90000,0.005,186.0,1357319.0,4.203660133303778e+19,1.0
A2000,n65,r17,v00,90000,0.006,186.0,1357321.0,4.203666327349054e+19,1.0
A2000,n65,r17,v00,90000,0.008,185.0,1357324.0,4.203675618451317e+19,1.0
A2000,n65,r18,v00,90000,0.001,0.0,0.0,0.0,
A2000,n65,r18,v00,90000,0.002,3714.0,20867.0,6.462578878463791e+17,1.0
A2000,n65,r18,v00,90000,0.003,114.0,2243087.0,6.946911503904104e+19,1.0
A2000,n65,r18,v00,90000,0.0035,115.0,2243329.0,6.947660987040429e+19,1.0
A2000,n65,r18,v00,90000,0.004,262.0,844886.6666666666,2.6225578367894417e+19,1.0
A2000,n65,r18,v00,90000,0.0045,115.0,2243717.0,6.9488626379115954e+19,1.0
