simulation_id,filename,file_path,file_size_bytes,mass_code,mass_value,special_case_code,spin_code,spin_value,spin_axis,has_explicit_spin,resolution_code,resolution_value,periapsis_code,periapsis_value,velocity_code,velocity_value,timestep,fof_linking_length,chunk_index
Ma_xp_A1900_n65_r16_v04_90000_fof_0.002_0000,Ma_xp_A1900_n65_r16_v04_90000_fof_0.002_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n65_r16_v04_90000_fof_0.002_0000.hdf5,462775096,A1900,1900,,,,,False,n65,65,r16,16,v04,4,90000,0.002,0
Ma_xp_A1900_n65_r16_v06_89000_fof_0.002_0000,Ma_xp_A1900_n65_r16_v06_89000_fof_0.002_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n65_r16_v06_89000_fof_0.002_0000.hdf5,462775096,A1900,1900,,,,,False,n65,65,r16,16,v06,6,89000,0.002,0
Ma_xp_A1900_n65_r17_v00_90000_fof_0.002_0000,Ma_xp_A1900_n65_r17_v00_90000_fof_0.002_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n65_r17_v00_90000_fof_0.002_0000.hdf5,462775096,A1900,1900,,,,,False,n65,65,r17,17,v00,0,90000,0.002,0
Ma_xp_A1900_n65_r18_v00_90000_fof_0.002_0000,Ma_xp_A1900_n65_r18_v00_90000_fof_0.002_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n65_r18_v00_90000_fof_0.002_0000.hdf5,462775096,A1900,1900,,,,,False,n65,65,r18,18,v00,0,90000,0.002,0
Ma_xp_A1900_n65_r18_v02_90000_fof_0.002_0000,Ma_xp_A1900_n65_r18_v02_90000_fof_0.002_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n65_r18_v02_90000_fof_0.002_0000.hdf5,462775096,A1900,1900,,,,,False,n65,65,r18,18,v02,2,90000,0.002,0
Ma_xp_A1900_n65_r18_v04_90000_fof_0.002_0000,Ma_xp_A1900_n65_r18_v04_90000_fof_0.002_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n65_r18_v04_90000_fof_0.002_0000.hdf5,462775096,A1900,1900,,,,,False,n65,65,r18,18,v04,4,90000,0.002,0
Ma_xp_A1900_n65_r18_v06_89000_fof_0.002_0000,Ma_xp_A1900_n65_r18_v06_89000_fof_0.002_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n65_r18_v06_89000_fof_0.002_0000.hdf5,462775096,A1900,1900,,,,,False,n65,65,r18,18,v06,6,89000,0.002,0
Ma_xp_A1900_n65_r19_v00_90000_fof_0.002_0000,Ma_xp_A1900_n65_r19_v00_90000_fof_0.002_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n65_r19_v00_90000_fof_0.002_0000.hdf5,462775096,A1900,1900,,,,,False,n65,65,r19,19,v00,0,90000,0.002,0
Ma_xp_A1900_n65_r20_v00_89000_fof_0.002_0000,Ma_xp_A1900_n65_r20_v00_89000_fof_0.002_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n65_r20_v00_89000_fof_0.002_0000.hdf5,462775096,A1900,1900,,,,,False,n65,65,r20,20,v00,0,89000,0.002,0
Ma_xp_A1900_n65_r20_v02_89000_fof_0.002_0000,Ma_xp_A1900_n65_r20_v02_89000_fof_0.002_0000.hdf5,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n65_r20_v02_89000_fof_0.002_0000.hdf5,462775096,A1900,1900,,,,,False,n65,65,r20,20,v02,2,89000,0.002,0
