task,dataset,feature_set,target,model,rows,unique_physical_files,train_accuracy,test_accuracy,accuracy_gap,train_balanced_accuracy,test_balanced_accuracy,balanced_accuracy_gap,train_f1,test_f1,f1_gap,train_roc_auc,test_roc_auc,roc_auc_gap,train_mae,test_mae,mae_gap,train_rmse,test_rmse,rmse_gap,train_r2,test_r2,r2_gap
regression,positive_bound_runs,with_fof_linking_length,bound_mass_fraction,random_forest_regressor,225,160,,,,,,,,,,,,,0.010108387868544596,0.02545020329926694,0.015341815430722343,0.015883460611986002,0.03522240549058218,0.019338944878596175,0.961221434757036,0.8093049144384828,0.15191652031855318
regression,positive_bound_runs,with_fof_linking_length,bound_mass_fraction,ridge,225,160,,,,,,,,,,,,,0.02357899246390845,0.026339640384129056,0.002760647920220606,0.031163574163816442,0.03587947260066117,0.004715898436844727,0.8507219344742389,0.8021237928994982,0.04859814157474074
regression,positive_bound_runs,with_fof_linking_length,bound_mass_fraction,dummy_mean,225,160,,,,,,,,,,,,,0.06966517344204165,0.06984857919472323,0.00018340575268158132,0.08065833671919935,0.08088673896784215,0.00022840224864280334,0.0,-0.00567146916620187,0.00567146916620187
regression,positive_bound_runs,without_fof_linking_length,bound_mass_fraction,gradient_boosting_regressor,225,160,,,,,,,,,,,,,0.009665455125076624,0.01951596517879413,0.009850510053717504,0.013175286719952337,0.028356915469550888,0.01518162874959855,0.9733178005575114,0.8763997204243652,0.09691808013314618
regression,positive_bound_runs,without_fof_linking_length,bound_mass_fraction,random_forest_regressor,225,160,,,,,,,,,,,,,0.011299336960009383,0.02580590122023747,0.014506564260228087,0.017521124120956924,0.03584396957908965,0.018322845458132724,0.952812669568303,0.8025151992939163,0.15029747027438667
regression,positive_bound_runs,without_fof_linking_length,bound_mass_fraction,ridge,225,160,,,,,,,,,,,,,0.023701437917922244,0.026550202731182353,0.0028487648132601087,0.031705086761221,0.03638896742852951,0.0046838806673085084,0.8454890126072908,0.7964641381938775,0.0490248744134133
regression,positive_bound_runs,without_fof_linking_length,bound_mass_fraction,dummy_mean,225,160,,,,,,,,,,,,,0.06966517344204165,0.06984857919472323,0.00018340575268158132,0.08065833671919935,0.08088673896784215,0.00022840224864280334,0.0,-0.00567146916620187,0.00567146916620187
regression,all_successful_runs,with_fof_linking_length,largest_bound_fragment_mass_kg,random_forest_regressor,407,279,,,,,,,,,,,,,2.2446781375355894e+17,5.675631157883974e+17,3.430953020348384e+17,5.412518887091049e+17,1.611692004395829e+18,1.0704401156867241e+18,0.980169336863708,0.8241661480013522,0.15600318886235576
regression,all_successful_runs,with_fof_linking_length,largest_bound_fragment_mass_kg,gradient_boosting_regressor,407,279,,,,,,,,,,,,,3.988760963009688e+17,7.682351232684941e+17,3.6935902696752525e+17,5.838895568081944e+17,1.734224147611879e+18,1.1503345908036845e+18,0.9769219131721535,0.7964135611261054,0.1805083520460481
regression,all_successful_runs,with_fof_linking_length,largest_bound_fragment_mass_kg,ridge,407,279,,,,,,,,,,,,,1.6370661691480965e+18,1.7089787698340014e+18,7.19126006859049e+16,3.1390048258137185e+18,3.349991055090344e+18,2.109862292766254e+17,0.33300534407386617,0.24032876456251162,0.09267657951135455
regression,all_successful_runs,with_fof_linking_length,largest_bound_fragment_mass_kg,dummy_mean,407,279,,,,,,,,,,,,,1.8315963956089956e+18,1.858707031952421e+18,2.7110636343425536e+16,3.843534699375421e+18,3.873629750493335e+18,3.009505111791411e+16,0.0,-0.015721400371806693,0.015721400371806693
regression,all_successful_runs,without_fof_linking_length,largest_bound_fragment_mass_kg,random_forest_regressor,407,279,,,,,,,,,,,,,3.591811236085419e+17,6.49565056334354e+17,2.9038393272581216e+17,7.333069686123758e+17,1.7001697805570496e+18,9.668628119446738e+17,0.9635992768344452,0.8043305732128184,0.15926870362162682
