mass_log10_kg,periapsis_Rm,v_inf_kms,spin_axis,has_explicit_spin,nearby_run_count,local_grouped_mae,local_grouped_rmse,mean_predicted_bmf,mean_actual_bmf,benchmark_disagreement_mean,sparse_region_flag,local_grouped_mae_percentage_points,benchmark_disagreement_percentage_points,sparse_threshold
19.0,1.8,0.0,none,False,1,7.945155082304136e-05,7.945155082304136e-05,7.945155082304136e-05,0.0,0.006362925689336918,True,0.007945155082304136,0.6362925689336918,2.0
19.0,1.8,0.2,none,False,1,3.272594031665005e-05,3.272594031665005e-05,3.272594031665005e-05,0.0,0.00043471606075413244,True,0.0032725940316650046,0.04347160607541324,2.0
19.0,1.8,0.4,none,False,1,1.8055301764346525e-05,1.8055301764346525e-05,1.8055301764346525e-05,0.0,0.0002828694733741242,True,0.0018055301764346525,0.028286947337412417,2.0
19.0,1.9,0.0,none,False,1,6.152016820096563e-05,6.152016820096563e-05,6.152016820096563e-05,0.0,6.152016820096563e-05,True,0.0061520168200965624,0.0061520168200965624,2.0
19.0,1.9,0.0,z,True,1,0.007937742197078625,0.007937742197078625,0.025217891336429977,0.0331556335335086,0.017004405548018967,True,0.7937742197078625,1.7004405548018968,2.0
19.0,2.0,0.0,z,True,3,0.009284580831494098,0.013587713095680012,0.01602943025137293,0.006744849419878834,0.008527746046462108,False,0.9284580831494098,0.8527746046462108,2.0
19.0,2.0,0.2,z,True,2,0.0018075542822281678,0.002382541931048991,0.008377274977946863,0.00682509793585235,0.013771913029405825,True,0.1807554282228168,1.3771913029405825,2.0
19.0,2.0,0.4,z,True,2,0.01441725990304762,0.020274609541537727,0.01441725990304762,0.0,0.00760654525853888,True,1.441725990304762,0.7606545258538879,2.0
19.0,2.0,0.6,none,False,1,0.00013462690952954995,0.00013462690952954995,0.00013462690952954995,0.0,0.00015423183330184873,True,0.013462690952954996,0.015423183330184873,2.0
19.0,2.0,0.6,z,True,1,0.00037198370312755335,0.00037198370312755335,0.00037198370312755335,0.0,0.006530589050955082,True,0.03719837031275534,0.6530589050955082,2.0
19.0,2.2,0.0,z,True,2,0.01663173713093046,0.02335642278048284,0.01663173713093046,0.0,0.0017788244563214217,True,1.6631737130930462,0.17788244563214217,2.0
19.0,2.4,0.0,z,True,1,0.0001394606791558399,0.0001394606791558399,0.0001394606791558399,0.0,0.0041811523600898326,True,0.01394606791558399,0.41811523600898326,2.0
19.0,2.6,0.0,none,False,1,2.7876065778647908e-05,2.7876065778647908e-05,2.7876065778647908e-05,0.0,2.7876065778647908e-05,True,0.002787606577864791,0.002787606577864791,2.0
19.5,1.2,0.0,none,False,1,0.05342086845936302,0.05344462370821117,0.03790871640253811,0.09132958486190114,0.033509315027342904,True,5.3420868459363025,3.3509315027342903,2.0
19.5,1.6,0.0,none,False,1,0.07818533303365388,0.07828232763873201,0.07838940333287524,0.00020407029922136,0.010890495717952493,True,7.818533303365388,1.0890495717952493,2.0
20.0,1.1,0.0,none,False,1,0.010977464544142307,0.012029536148443102,0.17594327530987025,0.18156962872752389,0.021273200285747088,True,1.0977464544142306,2.127320028574709,2.0
20.0,1.1,0.0,z,True,2,0.0028790116075767813,0.003986119196483694,0.2680001879965712,0.27087919960414797,0.014716857682966475,True,0.28790116075767813,1.4716857682966475,2.0
20.0,1.2,0.0,mz,True,5,0.04526407665951922,0.051521076819008645,0.03990771553179584,0.039800387790333444,0.013097106948963797,False,4.526407665951922,1.3097106948963797,2.0
20.0,1.2,0.0,none,False,5,0.013891928758588114,0.014828876299791932,0.18832252257833598,0.18110069792939915,0.0066127479411848275,False,1.3891928758588115,0.6612747941184828,2.0
20.0,1.2,0.0,x,True,5,0.022234934380374993,0.028638854798924723,0.1854119994587784,0.2076469338391534,0.024189865839804668,False,2.223493438037499,2.418986583980467,2.0
20.0,1.2,0.0,y,True,5,0.017422668190239417,0.021759620766049485,0.20550160229357967,0.21817874299727494,0.006533337173243647,False,1.7422668190239416,0.6533337173243647,2.0
