dataset,feature_set,target,model,importance_type,rank,feature,importance
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,ridge,absolute_coefficient,3,num__periapsis_Rm,2.1752551987450032e+19
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,ridge,absolute_coefficient,4,cat__spin_axis_y,6.534857392325861e+18
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,ridge,absolute_coefficient,5,cat__spin_axis_x,6.179063905669705e+18
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,ridge,absolute_coefficient,6,num__has_explicit_spin,6.905431390142084e+17
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,ridge,absolute_coefficient,7,num__spin_period_hr,6.735383538923052e+17
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,ridge,absolute_coefficient,8,cat__spin_axis_none,2.8230109892381984e+17
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,ridge,absolute_coefficient,9,num__v_inf_kms,1.888426944430874e+17
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,ridge,absolute_coefficient,10,num__fof_linking_length,0.0
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,ridge,absolute_coefficient,11,num__timestep,0.0
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,ridge,absolute_coefficient,12,num__particle_log10,0.0
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,ridge,absolute_coefficient,13,num__mass_log10_kg,0.0
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,ridge,permutation_importance,1,periapsis_Rm,1.8048258066347223e+19
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,ridge,permutation_importance,2,spin_axis,4.3299155471802476e+18
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,ridge,permutation_importance,3,spin_period_hr,5.600230946856591e+16
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,ridge,permutation_importance,4,has_explicit_spin,409.6
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,ridge,permutation_importance,5,fof_linking_length,0.0
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,ridge,permutation_importance,6,timestep,0.0
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,ridge,permutation_importance,7,particle_log10,0.0
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,ridge,permutation_importance,8,mass_log10_kg,0.0
clean_subset,with_fof_linking_length,largest_fragment_mass_kg,ridge,permutation_importance,9,v_inf_kms,-6.512241731310633e+16
clean_subset,with_fof_linking_length,largest_fragment_particle_count,gradient_boosting,model_feature_importance,1,num__periapsis_Rm,0.39584625031822174
clean_subset,with_fof_linking_length,largest_fragment_particle_count,gradient_boosting,model_feature_importance,2,cat__spin_axis_mz,0.25611353125759123
clean_subset,with_fof_linking_length,largest_fragment_particle_count,gradient_boosting,model_feature_importance,3,cat__spin_axis_z,0.2052347130772968
clean_subset,with_fof_linking_length,largest_fragment_particle_count,gradient_boosting,model_feature_importance,4,num__spin_period_hr,0.1227757927471025
clean_subset,with_fof_linking_length,largest_fragment_particle_count,gradient_boosting,model_feature_importance,5,num__v_inf_kms,0.006495145402988585
clean_subset,with_fof_linking_length,largest_fragment_particle_count,gradient_boosting,model_feature_importance,6,cat__spin_axis_y,0.005283515035585464
clean_subset,with_fof_linking_length,largest_fragment_particle_count,gradient_boosting,model_feature_importance,7,num__has_explicit_spin,0.0038961773896891753
clean_subset,with_fof_linking_length,largest_fragment_particle_count,gradient_boosting,model_feature_importance,8,cat__spin_axis_none,0.003502267778926516
clean_subset,with_fof_linking_length,largest_fragment_particle_count,gradient_boosting,model_feature_importance,9,cat__spin_axis_x,0.000852606992598063
clean_subset,with_fof_linking_length,largest_fragment_particle_count,gradient_boosting,model_feature_importance,10,num__fof_linking_length,0.0
clean_subset,with_fof_linking_length,largest_fragment_particle_count,gradient_boosting,model_feature_importance,11,num__timestep,0.0
clean_subset,with_fof_linking_length,largest_fragment_particle_count,gradient_boosting,model_feature_importance,12,num__particle_log10,0.0
clean_subset,with_fof_linking_length,largest_fragment_particle_count,gradient_boosting,model_feature_importance,13,num__mass_log10_kg,0.0
clean_subset,with_fof_linking_length,largest_fragment_particle_count,gradient_boosting,permutation_importance,1,periapsis_Rm,838171.869761779
clean_subset,with_fof_linking_length,largest_fragment_particle_count,gradient_boosting,permutation_importance,2,spin_axis,251010.25235312345
clean_subset,with_fof_linking_length,largest_fragment_particle_count,gradient_boosting,permutation_importance,3,spin_period_hr,116592.2269730086
clean_subset,with_fof_linking_length,largest_fragment_particle_count,gradient_boosting,permutation_importance,4,v_inf_kms,35153.29441806849
clean_subset,with_fof_linking_length,largest_fragment_particle_count,gradient_boosting,permutation_importance,5,has_explicit_spin,1652.7202739806612
clean_subset,with_fof_linking_length,largest_fragment_particle_count,gradient_boosting,permutation_importance,6,fof_linking_length,0.0
clean_subset,with_fof_linking_length,largest_fragment_particle_count,gradient_boosting,permutation_importance,7,timestep,0.0
clean_subset,with_fof_linking_length,largest_fragment_particle_count,gradient_boosting,permutation_importance,8,particle_log10,0.0
clean_subset,with_fof_linking_length,largest_fragment_particle_count,gradient_boosting,permutation_importance,9,mass_log10_kg,0.0
clean_subset,with_fof_linking_length,largest_fragment_particle_count,random_forest,model_feature_importance,1,num__periapsis_Rm,0.4191594106859919
clean_subset,with_fof_linking_length,largest_fragment_particle_count,random_forest,model_feature_importance,2,cat__spin_axis_mz,0.24535833175964228
clean_subset,with_fof_linking_length,largest_fragment_particle_count,random_forest,model_feature_importance,3,cat__spin_axis_z,0.18483890701893246
clean_subset,with_fof_linking_length,largest_fragment_particle_count,random_forest,model_feature_importance,4,num__spin_period_hr,0.11785075742642083
clean_subset,with_fof_linking_length,largest_fragment_particle_count,random_forest,model_feature_importance,5,num__v_inf_kms,0.021675191808644977
clean_subset,with_fof_linking_length,largest_fragment_particle_count,random_forest,model_feature_importance,6,num__has_explicit_spin,0.00411368816215032
clean_subset,with_fof_linking_length,largest_fragment_particle_count,random_forest,model_feature_importance,7,cat__spin_axis_none,0.0035787363926285194
clean_subset,with_fof_linking_length,largest_fragment_particle_count,random_forest,model_feature_importance,8,cat__spin_axis_x,0.0018050932581262166
clean_subset,with_fof_linking_length,largest_fragment_particle_count,random_forest,model_feature_importance,9,cat__spin_axis_y,0.0016198834874625594
clean_subset,with_fof_linking_length,largest_fragment_particle_count,random_forest,model_feature_importance,10,num__fof_linking_length,0.0
clean_subset,with_fof_linking_length,largest_fragment_particle_count,random_forest,model_feature_importance,11,num__timestep,0.0
