target,feature_set,model,params_json,r2,mae,rmse,fold_r2_mean,fold_r2_std,fold_mae_mean,fold_mae_std,fold_rmse_mean,fold_rmse_std
bound_mass_fraction,with_fof_linking_length,gradient_boosting,"{""learning_rate"": 0.1, ""max_depth"": 3, ""min_samples_leaf"": 2, ""model"": ""gradient_boosting"", ""n_estimators"": 100, ""subsample"": 0.9}",0.8838560147866499,0.022358504793805425,0.03171078277299164,0.8784726681570346,0.013011730466418299,0.02235277389853426,0.0011721274469554618,0.03156698817125704,0.0028661096672837677
bound_mass_fraction,with_fof_linking_length,gradient_boosting,"{""learning_rate"": 0.1, ""max_depth"": 3, ""min_samples_leaf"": 2, ""model"": ""gradient_boosting"", ""n_estimators"": 100, ""subsample"": 1.0}",0.8847614970267412,0.022725903018142264,0.03158692903245015,0.879715941271147,0.008398651372462804,0.022717168031973274,0.0015788172556955229,0.03145127117307961,0.002772406080807468
bound_mass_fraction,with_fof_linking_length,gradient_boosting,"{""learning_rate"": 0.05, ""max_depth"": 2, ""min_samples_leaf"": 2, ""model"": ""gradient_boosting"", ""n_estimators"": 200, ""subsample"": 0.9}",0.8182536418147204,0.031421910314957446,0.03966810547866337,0.8102139039083612,0.014051824958758797,0.03140660577461128,0.002884814913063916,0.03949814745905533,0.003467417464502542
bound_mass_fraction,with_fof_linking_length,gradient_boosting,"{""learning_rate"": 0.05, ""max_depth"": 2, ""min_samples_leaf"": 2, ""model"": ""gradient_boosting"", ""n_estimators"": 200, ""subsample"": 1.0}",0.8010418252504274,0.03284858245131707,0.04150395607269391,0.7926204685801161,0.017721104901353636,0.0328307961497515,0.003233832018248647,0.041296994332367096,0.003926265259769547
bound_mass_fraction,with_fof_linking_length,gradient_boosting,"{""learning_rate"": 0.05, ""max_depth"": 3, ""min_samples_leaf"": 2, ""model"": ""gradient_boosting"", ""n_estimators"": 200, ""subsample"": 0.9}",0.8892878099401162,0.022290695727964303,0.030960382794600158,0.8850111332171252,0.012515282203856726,0.022281133004912846,0.001798626672033292,0.030761127670595013,0.00335604407396755
bound_mass_fraction,with_fof_linking_length,gradient_boosting,"{""learning_rate"": 0.05, ""max_depth"": 3, ""min_samples_leaf"": 2, ""model"": ""gradient_boosting"", ""n_estimators"": 200, ""subsample"": 1.0}",0.8793870515640201,0.023099539577498607,0.03231510473139053,0.8749178683384239,0.01222302979740606,0.023088303256533445,0.0019543789478302332,0.032105363934620074,0.003516795308146319
bound_mass_fraction,with_fof_linking_length,gradient_boosting,"{""learning_rate"": 0.1, ""max_depth"": 2, ""min_samples_leaf"": 2, ""model"": ""gradient_boosting"", ""n_estimators"": 200, ""subsample"": 0.9}",0.8471402987945255,0.027688978354355305,0.03637936413654248,0.839841028224394,0.0251695986065199,0.02767918279065104,0.002586996760937045,0.03616723220201707,0.003776929663992246
bound_mass_fraction,with_fof_linking_length,gradient_boosting,"{""learning_rate"": 0.1, ""max_depth"": 2, ""min_samples_leaf"": 2, ""model"": ""gradient_boosting"", ""n_estimators"": 200, ""subsample"": 1.0}",0.8425134842970308,0.027973103279604474,0.03692583187750731,0.8362608210318531,0.018457761798859745,0.027958510559452858,0.0029528456521162026,0.036693462625701924,0.003962695406965031
bound_mass_fraction,with_fof_linking_length,gradient_boosting,"{""learning_rate"": 0.1, ""max_depth"": 3, ""min_samples_leaf"": 2, ""model"": ""gradient_boosting"", ""n_estimators"": 200, ""subsample"": 0.9}",0.8913283799275813,0.02129568600041069,0.030673735724491776,0.8850838420101323,0.026738331361841713,0.021295334609530238,0.0018915434298734503,0.030467572016391314,0.0034871519898647886
bound_mass_fraction,with_fof_linking_length,gradient_boosting,"{""learning_rate"": 0.1, ""max_depth"": 3, ""min_samples_leaf"": 2, ""model"": ""gradient_boosting"", ""n_estimators"": 200, ""subsample"": 1.0}",0.89587551876529,0.021271300421952508,0.03002513896200963,0.8905758759328734,0.01107983083961129,0.021268275005384106,0.0010747599849392254,0.02992997681870601,0.0022956488371606927
bound_mass_fraction,without_fof_linking_length,random_forest,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""model"": ""random_forest"", ""n_estimators"": 300}",0.7998924578777076,0.03038384912723815,0.04162366614907391,0.7920832124920004,0.030061437039995094,0.030361894832512996,0.004498706863125503,0.04132127533416697,0.004835018346045563
bound_mass_fraction,without_fof_linking_length,random_forest,"{""max_depth"": null, ""max_features"": 0.8, ""min_samples_leaf"": 2, ""model"": ""random_forest"", ""n_estimators"": 300}",0.8459018323080384,0.020855196671097562,0.03652643930684451,0.8409659445024452,0.03493341071602095,0.02084553229914749,0.004108044986462635,0.036055361775751034,0.00575023353930179
bound_mass_fraction,without_fof_linking_length,random_forest,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""model"": ""random_forest"", ""n_estimators"": 300}",0.7182069043797762,0.040153017960424774,0.049393951927627466,0.7047567285263658,0.037598726704640616,0.040138365898429715,0.004062610085335323,0.04917016710769957,0.004553943489084666
bound_mass_fraction,without_fof_linking_length,random_forest,"{""max_depth"": null, ""max_features"": 0.8, ""min_samples_leaf"": 4, ""model"": ""random_forest"", ""n_estimators"": 300}",0.7971665692084258,0.025927990055457532,0.04190620845575271,0.7897246826771755,0.051397973401913974,0.02591687446391524,0.004826608235952953,0.04136535009383581,0.00665761581985033
bound_mass_fraction,without_fof_linking_length,random_forest,"{""max_depth"": 10, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2, ""model"": ""random_forest"", ""n_estimators"": 300}",0.7902191666251697,0.032406760860082665,0.0426178468023625,0.7822893081932545,0.029505949733596017,0.0323828108953245,0.004794060558254641,0.042308080906364724,0.0049518814008372965
