dataset,feature_set,target,model,train_rows,test_rows,mae,rmse,r2,train_mae,train_rmse,train_r2,test_mae,test_rmse,test_r2,mae_gap,rmse_gap,r2_gap
full,without_fof_linking_length,fragment_count_min_particles,random_forest,391,98,248.51658343335112,411.322757172481,0.4202023113736715,263.68019322276433,743.2951937329757,0.36686798975083756,248.51658343335112,411.322757172481,0.4202023113736715,-15.163609789413215,-331.9724365604947,-0.05333432162283391
full,without_fof_linking_length,fragment_count_min_particles,ridge,391,98,311.47001271541626,468.4469332532785,0.24797582245237704,408.4208716600694,844.8462453361493,0.18204958168800234,311.47001271541626,468.4469332532785,0.24797582245237704,-96.95085894465313,-376.39931208287084,-0.0659262407643747
full,without_fof_linking_length,fragment_count_min_particles,dummy_mean,391,98,338.6975311863876,548.7311588343385,-0.03188249801306564,433.14969159019114,934.1447748244873,0.0,338.6975311863876,548.7311588343385,-0.03188249801306564,-94.45216040380353,-385.41361599014874,0.03188249801306564
full,without_fof_linking_length,largest_fragment_mass_kg,gradient_boosting,391,98,1.099613216749011e+19,2.1025920805989556e+19,0.657085292264199,7.312651401975682e+18,1.2911613692003099e+19,0.913391599574998,1.099613216749011e+19,2.1025920805989556e+19,0.657085292264199,3.6834807655144274e+18,8.114307113986458e+18,0.25630630731079906
full,without_fof_linking_length,largest_fragment_mass_kg,random_forest,391,98,1.509140800634111e+19,3.706717157274439e+19,-0.06574906535569514,6.890846889202434e+18,1.8480574672079323e+19,0.8225688309409365,1.509140800634111e+19,3.706717157274439e+19,-0.06574906535569514,8.200561117138676e+18,1.8586596900665065e+19,0.8883178962966316
full,without_fof_linking_length,largest_fragment_mass_kg,ridge,391,98,1.9678292929607877e+19,2.4421982203455e+19,0.5373656400240229,2.0314398913598726e+19,3.4652472499752337e+19,0.37616832064329475,1.9678292929607877e+19,2.4421982203455e+19,0.5373656400240229,-6.361059839908495e+17,-1.0230490296297337e+19,-0.16119731938072812
full,without_fof_linking_length,largest_fragment_mass_kg,dummy_mean,391,98,2.9237782108706853e+19,3.6043937927287603e+19,-0.0077215132131107644,2.7047395391241884e+19,4.387332152943435e+19,0.0,2.9237782108706853e+19,3.6043937927287603e+19,-0.0077215132131107644,2.1903867174649692e+18,-7.829383602146746e+18,0.0077215132131107644
full,without_fof_linking_length,largest_fragment_particle_count,gradient_boosting,391,98,254521.75963513786,609059.0030519138,0.7425520705966988,197955.85403746783,393726.0107910894,0.8576538156055262,254521.75963513786,609059.0030519138,0.7425520705966988,56565.90559767003,215332.99226082442,0.11510174500882742
full,without_fof_linking_length,largest_fragment_particle_count,random_forest,391,98,333793.5076981835,681145.5412478826,0.6780039791137724,194869.98024611594,406007.3888920575,0.8486349907480326,333793.5076981835,681145.5412478826,0.6780039791137724,138923.52745206753,275138.1523558251,0.1706310116342602
full,without_fof_linking_length,largest_fragment_particle_count,ridge,391,98,552265.1526630815,750891.7670833142,0.6086860287084155,515966.1988062745,667580.1248945631,0.5907728736393177,552265.1526630815,750891.7670833142,0.6086860287084155,36298.95385680703,83311.64218875114,-0.01791315506909774
full,without_fof_linking_length,largest_fragment_particle_count,dummy_mean,391,98,993056.0916801502,1220169.5153915707,-0.03326331275732519,839296.7955599453,1043569.0525552104,0.0,993056.0916801502,1220169.5153915707,-0.03326331275732519,153759.29612020496,176600.46283636033,0.03326331275732519
