fof_file,physical_file,mass_code,resolution_code,periapsis_code,velocity_code,spin_code,timestep,fof_linking_length,n_fragments,total_fragment_mass_kg,bound_fragment_count,bound_mass_kg,bound_mass_fraction,largest_bound_fragment_mass_kg,unbound_fragment_count,unbound_mass_kg,unbound_mass_fraction,largest_unbound_fragment_mass_kg,physical_path,physical_exists,fof_filename_exists_in_source,metadata_status,metadata_conflicts,spin_orientation,spin_period_hr,periapsis_rm,v_inf_kms,v_inf_source,physical_snapshot_date,physical_output_type,physical_run_name,physical_particle_count,scenario_name
Ma_xp_A1900_n65_r13_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_n65_r13_v00_90000.hdf5,A1900,n65,r13,v00,,90000,0.002,252,9.985571485955656e+18,0,0.0,0.0,0.0,252,9.985571485955656e+18,1.0,7.184982640102825e+17,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n65_r13_v00_90000.hdf5,True,False,mapped,,no_spin,,1.3,0.0,physical_snapshot_filename,10:41:40 2022-07-08 BST,FullVolume,Untitled SWIFT simulation,3227694,Ma_xp_A1900_n65_r13_v00_90000
Ma_xp_A1900_n65_r14_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_n65_r14_v00_90000.hdf5,A1900,n65,r14,v00,,90000,0.002,248,9.98832836433961e+18,0,0.0,0.0,0.0,248,9.98832836433961e+18,1.0,8.008948539207593e+17,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n65_r14_v00_90000.hdf5,True,False,mapped,,no_spin,,1.4,0.0,physical_snapshot_filename,10:42:54 2022-07-18 BST,FullVolume,Untitled SWIFT simulation,3227694,Ma_xp_A1900_n65_r14_v00_90000
Ma_xp_A1900_n65_r14_v02_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_n65_r14_v02_90000.hdf5,A1900,n65,r14,v02,,90000,0.002,245,9.985720171531237e+18,0,0.0,0.0,0.0,245,9.985720171531237e+18,1.0,1.0905188674560852e+18,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n65_r14_v02_90000.hdf5,True,False,mapped,,no_spin,,1.4,0.2,physical_snapshot_filename,15:18:46 2022-07-11 BST,FullVolume,Untitled SWIFT simulation,3227693,Ma_xp_A1900_n65_r14_v02_90000
Ma_xp_A1900_n65_r14_v06_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_n65_r14_v06_90000.hdf5,A1900,n65,r14,v06,,90000,0.002,230,9.98440058705174e+18,0,0.0,0.0,0.0,230,9.98440058705174e+18,1.0,1.16026789057692e+18,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n65_r14_v06_90000.hdf5,True,False,mapped,,no_spin,,1.4,0.6,physical_snapshot_filename,04:37:12 2022-07-11 BST,FullVolume,Untitled SWIFT simulation,3227694,Ma_xp_A1900_n65_r14_v06_90000
Ma_xp_A1900_n65_r15_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_n65_r15_v00_90000.hdf5,A1900,n65,r15,v00,,90000,0.002,198,9.987770793431106e+18,0,0.0,0.0,0.0,198,9.987770793431106e+18,1.0,9.764367618240195e+17,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n65_r15_v00_90000.hdf5,True,False,mapped,,no_spin,,1.5,0.0,physical_snapshot_filename,14:32:03 2022-07-11 BST,FullVolume,Untitled SWIFT simulation,3227694,Ma_xp_A1900_n65_r15_v00_90000
Ma_xp_A1900_n65_r16_v00_90000_fof_0.0019_0000.hdf5,Ma_xp_A1900_n65_r16_v00_90000.hdf5,A1900,n65,r16,v00,,90000,0.0019,147,9.99098008363334e+18,0,0.0,0.0,0.0,147,9.99098008363334e+18,1.0,2.01614856121421e+18,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n65_r16_v00_90000.hdf5,True,False,mapped,,no_spin,,1.6,0.0,physical_snapshot_filename,04:16:54 2022-05-06 BST,FullVolume,Untitled SWIFT simulation,3227694,Ma_xp_A1900_n65_r16_v00_90000
Ma_xp_A1900_n65_r16_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_n65_r16_v00_90000.hdf5,A1900,n65,r16,v00,,90000,0.002,146,9.9911566477574e+18,0,0.0,0.0,0.0,146,9.9911566477574e+18,1.0,2.0161516588304215e+18,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n65_r16_v00_90000.hdf5,True,False,mapped,,no_spin,,1.6,0.0,physical_snapshot_filename,04:16:54 2022-05-06 BST,FullVolume,Untitled SWIFT simulation,3227694,Ma_xp_A1900_n65_r16_v00_90000
Ma_xp_A1900_n65_r16_v02_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_n65_r16_v02_90000.hdf5,A1900,n65,r16,v02,,90000,0.002,189,9.989861684368222e+18,0,0.0,0.0,0.0,189,9.989861684368222e+18,1.0,2.102643265092135e+18,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n65_r16_v02_90000.hdf5,True,False,mapped,,no_spin,,1.6,0.2,physical_snapshot_filename,18:40:47 2022-07-18 BST,FullVolume,Untitled SWIFT simulation,3227694,Ma_xp_A1900_n65_r16_v02_90000
Ma_xp_A1900_n65_r16_v04_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_n65_r16_v04_90000.hdf5,A1900,n65,r16,v04,,90000,0.002,152,9.991456956693168e+18,0,0.0,0.0,0.0,152,9.991456956693168e+18,1.0,2.0442686885183404e+18,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n65_r16_v04_90000.hdf5,True,False,mapped,,no_spin,,1.6,0.4,physical_snapshot_filename,21:06:43 2022-07-20 BST,FullVolume,Untitled SWIFT simulation,3227694,Ma_xp_A1900_n65_r16_v04_90000
Ma_xp_A1900_n65_r17_v00_90000_fof_0.002_0000.hdf5,Ma_xp_A1900_n65_r17_v00_90000.hdf5,A1900,n65,r17,v00,,90000,0.002,116,9.993554042791508e+18,0,0.0,0.0,0.0,116,9.993554042791508e+18,1.0,3.066776295466688e+18,/rds/general/ephemeral/user/nny124/ephemeral/martian_moons_data/Ma_xp_A1900_n65_r17_v00_90000.hdf5,True,False,mapped,,no_spin,,1.7,0.0,physical_snapshot_filename,10:03:14 2022-07-24 BST,FullVolume,Untitled SWIFT simulation,3227694,Ma_xp_A1900_n65_r17_v00_90000
