relative_path,filename,suffix,size_bytes,contains_fof_in_name
Ma_xp_A1900_s170mz_n65_r12_v00_90000.hdf5,Ma_xp_A1900_s170mz_n65_r12_v00_90000.hdf5,.hdf5,307564488,False
Ma_xp_A1900_s170x_n65_r12_v00_90000.hdf5,Ma_xp_A1900_s170x_n65_r12_v00_90000.hdf5,.hdf5,307564496,False
Ma_xp_A1900_s170y_n65_r12_v00_90000.hdf5,Ma_xp_A1900_s170y_n65_r12_v00_90000.hdf5,.hdf5,307564496,False
Ma_xp_A1900_s170z_n65_r12_v00_90000.hdf5,Ma_xp_A1900_s170z_n65_r12_v00_90000.hdf5,.hdf5,307564496,False
Ma_xp_A1900_s170z_n65_r16_v00_90000.hdf5,Ma_xp_A1900_s170z_n65_r16_v00_90000.hdf5,.hdf5,307564496,False
Ma_xp_A1950_n65_r12_v00_90000.hdf5,Ma_xp_A1950_n65_r12_v00_90000.hdf5,.hdf5,307564472,False
Ma_xp_A1950_n65_r16_v00_90000.hdf5,Ma_xp_A1950_n65_r16_v00_90000.hdf5,.hdf5,307564472,False
Ma_xp_A2000_n50_r12_v00_90000.hdf5,Ma_xp_A2000_n50_r12_v00_90000.hdf5,.hdf5,46079664,False
Ma_xp_A2000_n50_r14_v00_90000.hdf5,Ma_xp_A2000_n50_r14_v00_90000.hdf5,.hdf5,46079664,False
Ma_xp_A2000_n50_r16_v00_90000.hdf5,Ma_xp_A2000_n50_r16_v00_90000.hdf5,.hdf5,46079664,False
Ma_xp_A2000_n55_r12_v00_90000.hdf5,Ma_xp_A2000_n55_r12_v00_90000.hdf5,.hdf5,59569200,False
Ma_xp_A2000_n55_r14_v00_90000.hdf5,Ma_xp_A2000_n55_r14_v00_90000.hdf5,.hdf5,59569072,False
Ma_xp_A2000_n55_r16_v00_90000.hdf5,Ma_xp_A2000_n55_r16_v00_90000.hdf5,.hdf5,59569200,False
Ma_xp_A2000_n60_r12_v00_90000.hdf5,Ma_xp_A2000_n60_r12_v00_90000.hdf5,.hdf5,103309872,False
Ma_xp_A2000_n60_r14_v00_90000.hdf5,Ma_xp_A2000_n60_r14_v00_90000.hdf5,.hdf5,103309616,False
Ma_xp_A2000_n60_r16_v00_90000.hdf5,Ma_xp_A2000_n60_r16_v00_90000.hdf5,.hdf5,103309872,False
Ma_xp_A2000_n65_r11_v00_90000.hdf5,Ma_xp_A2000_n65_r11_v00_90000.hdf5,.hdf5,307564472,False
Ma_xp_A2000_n65_r12_v00_90000.hdf5,Ma_xp_A2000_n65_r12_v00_90000.hdf5,.hdf5,307564496,False
Ma_xp_A2000_n65_r12_v02_90000.hdf5,Ma_xp_A2000_n65_r12_v02_90000.hdf5,.hdf5,307564472,False
Ma_xp_A2000_n65_r12_v04_90000.hdf5,Ma_xp_A2000_n65_r12_v04_90000.hdf5,.hdf5,307564472,False
Ma_xp_A2000_n65_r12_v06_90000.hdf5,Ma_xp_A2000_n65_r12_v06_90000.hdf5,.hdf5,307564472,False
Ma_xp_A2000_n65_r12_v08_90000.hdf5,Ma_xp_A2000_n65_r12_v08_90000.hdf5,.hdf5,307564472,False
Ma_xp_A2000_n65_r12_v10_90000.hdf5,Ma_xp_A2000_n65_r12_v10_90000.hdf5,.hdf5,307564472,False
Ma_xp_A2000_n65_r12_v12_90000.hdf5,Ma_xp_A2000_n65_r12_v12_90000.hdf5,.hdf5,307564472,False
Ma_xp_A2000_n65_r12_v14_90000.hdf5,Ma_xp_A2000_n65_r12_v14_90000.hdf5,.hdf5,307564472,False
Ma_xp_A2000_n65_r12_v16_90000.hdf5,Ma_xp_A2000_n65_r12_v16_90000.hdf5,.hdf5,307564472,False
Ma_xp_A2000_n65_r13_v00_90000.hdf5,Ma_xp_A2000_n65_r13_v00_90000.hdf5,.hdf5,307564472,False
Ma_xp_A2000_n65_r14_v00_90000.hdf5,Ma_xp_A2000_n65_r14_v00_90000.hdf5,.hdf5,307564496,False
Ma_xp_A2000_n65_r14_v02_90000.hdf5,Ma_xp_A2000_n65_r14_v02_90000.hdf5,.hdf5,307564472,False
Ma_xp_A2000_n65_r14_v04_90000.hdf5,Ma_xp_A2000_n65_r14_v04_90000.hdf5,.hdf5,307564472,False
